List,Task Name,Task Description,Status,Assignee,Priority,Start Date,Due Date,Tags,Time Estimate (h),Escenario Make,Tipo,Sprint,Bloqueado por
4. Flujo Empresas,S12-2) Correo unico de feedback y fotos a la empresa,"DECISION D-009: un solo correo a la empresa el DIA SIGUIENTE al evento, con la liga del feedback y la liga de la carpeta de fotos. No el mismo dia: no alcanzan a subirse las fotos.",Por hacer,sistemas@encuentromundialdevalores.org,High,2027-02-15,2027-02-28,empresas,1.0,E-21,Automatizacion,S12,
4. Flujo Empresas,S12-3) Pruebas del cierre del evento,Los 3 QR llevan al formulario correcto; el correo del dia siguiente trae ambas ligas; feedback enviado dos veces no duplica el correo de cierre.,Por hacer,sistemas@encuentromundialdevalores.org,High,2027-02-15,2027-02-28,empresas,1.0,E-21,Pruebas,S12,
4. Flujo Empresas,S12-4) Cierre del evento y reporte de impacto,"Al recibir el feedback de la empresa, pasar a Fase 10 Cerrado y mandar el correo de agradecimiento con el mini reporte de impacto.",Por hacer,sistemas@encuentromundialdevalores.org,High,2027-02-15,2027-02-28,empresas,1.25,E-22,Automatizacion,S12,
4. Flujo Empresas,S12-5) Escenario de reactivacion a 5 meses,Escenario programado que a los 5 meses del evento cerrado manda el correo de reactivacion.,Por hacer,sistemas@encuentromundialdevalores.org,High,2027-02-15,2027-02-28,empresas,0.5,E-23,Automatizacion,S12,
4. Flujo Empresas,S12-6) Cancelacion por la empresa,"Boton que borra el evento de Calendar con el Event ID guardado, desmarca los recordatorios y, si ya habia asociacion ligada, le avisa por correo.",Por hacer,sistemas@encuentromundialdevalores.org,High,2027-02-15,2027-02-28,empresas,1.25,E-24,Automatizacion,S12,
4. Flujo Empresas,S12-7) Cancelacion por la asociacion,"Boton Asociacion cancelo: la Fase NO cambia, se vacia Asociacion asignada, se vuelve a correr el motor de match y se le manda a la empresa el nuevo reporte de opciones.",Por hacer,sistemas@encuentromundialdevalores.org,High,2027-02-15,2027-02-28,"empresas,sesion-viernes",1.5,E-25,Automatizacion,S12,
4. Flujo Empresas,S12-8) Panel compartido: botones y filtro por Responsable,"El equipo comparte el login de voluntariado (D-005): un panel compartido con filtro manual por Responsable, no 4 paginas auto-filtradas. Configurar los botones de automatizacion y sus condiciones de visibilidad, que son por campo y no por usuario.",Por hacer,sistemas@encuentromundialdevalores.org,High,2027-02-15,2027-02-28,"empresas,sesion-viernes",1.25,E-26,Configuracion,S12,
4. Flujo Empresas,S13-1) Recorrido end-to-end parte 1: de contacto a pago confirmado,"Contacto, bienvenida, reunion, captura, cotizacion, datos fiscales, recibo del contador, comprobante y confirmacion de pago. Documentar cada desviacion en el momento en que aparece.",Por hacer,sistemas@encuentromundialdevalores.org,Urgent,2027-03-01,2027-03-14,"empresas,sesion-viernes",2.25,,Pruebas,S13,
4. Flujo Empresas,S13-2) Recorrido end-to-end parte 2: de match a cierre,"Motor de match, reporte de opciones, eleccion, segunda reunion, curso, ficha tecnica, materiales, voluntarios, llamada de confirmacion, recordatorios, evento, fotos y los tres feedbacks.",Por hacer,sistemas@encuentromundialdevalores.org,Urgent,2027-03-01,2027-03-14,"empresas,sesion-viernes",2.25,,Pruebas,S13,
4. Flujo Empresas,S13-3) Barrido de error handlers en todos los escenarios,Abrir cada escenario y verificar modulo por modulo que ninguno quedo sin directiva de error. Es tedioso y es lo que evita que un escenario se apague solo en produccion.,Por hacer,sistemas@encuentromundialdevalores.org,High,2027-03-01,2027-03-14,empresas,1.0,,Mejora,S13,
4. Flujo Empresas,S13-4) Manual de operacion y capturas del panel,Escrito desde el lado de quien opera. Debe ABRIR explicando el filtro de Responsable: con cuenta compartida es el primer gesto de cada sesion.,Por hacer,sistemas@encuentromundialdevalores.org,High,2027-03-01,2027-03-14,empresas,0.75,,Documentacion,S13,
4. Flujo Empresas,S13-5) Sesion de capacitacion con el equipo,Una hora en vivo mas preparacion. Que cada quien opere el panel con un caso real durante la sesion. Agendar desde el Sprint 14.,Por hacer,sistemas@encuentromundialdevalores.org,High,2027-03-01,2027-03-14,empresas,1.0,,Gestion,S13,
4. Flujo Empresas,S13-6) Acta de entrega,"Alcance entregado y diferido, inventario de accesos, costos recurrentes mensuales y recomendaciones para la fase siguiente.",Por hacer,sistemas@encuentromundialdevalores.org,High,2027-03-01,2027-03-14,empresas,0.5,,Documentacion,S13,
